,community_district,particle_concentration
0,101,11.166666666666666
1,102,11.2675
2,103,10.374722222222223
3,104,11.445555555555556
4,105,13.651111111111112
5,106,11.954444444444444
6,107,10.2775
7,108,10.893055555555556
8,109,9.914444444444445
9,110,9.82861111111111
10,111,9.890555555555556
11,112,9.825833333333334
12,201,10.288333333333334
13,202,10.224444444444444
14,203,9.753333333333334
15,204,10.179444444444444
16,205,10.268888888888888
17,206,9.842222222222222
18,207,9.710833333333333
19,208,9.354166666666666
20,209,9.392222222222223
21,210,9.153055555555556
22,211,9.188055555555556
23,212,9.160277777777777
24,301,10.694722222222222
25,302,10.033888888888889
26,303,9.385833333333332
27,304,9.433055555555557
28,305,9.12861111111111
29,306,10.098888888888888
30,307,9.851111111111111
31,308,9.351666666666667
32,309,9.175833333333333
33,310,8.943333333333333
34,311,8.670277777777777
35,312,9.022222222222222
36,313,8.368888888888888
37,314,8.987222222222222
38,315,8.462499999999999
39,316,9.340555555555556
40,317,9.18888888888889
41,318,8.597222222222221
42,401,9.385833333333332
43,402,10.530833333333334
44,403,8.940555555555555
45,404,9.301666666666668
46,405,9.331666666666667
47,406,9.106111111111112
48,407,8.984444444444444
49,408,8.715833333333332
50,409,8.877222222222223
51,410,8.46
52,411,8.596388888888889
53,412,8.695
54,413,8.3175
55,414,7.765277777777778
56,501,8.669444444444444
57,502,8.5025
58,503,8.288333333333334
